sentence,difficulty
"Unfortunately, only privileged and more educated people are able to reverse this trend by taking this aspect of the problem into account in their daily lives.",C1
Almost all young people say they love their middle or high school.,B2
The desk is opposite the coffee machine.,A2
You suffered from the intense cold of winter which rushed into the avenues crowded with eager passers-by,C2
This law aimed to allow believers and non-believers to live together.,B2
But this initiative also arouses a lot of reluctance.,C2
"However, an emergency appeal suspended the decision, imposing the status quo while an appeal court examines the case, in order to avoid a “yo-yo effect”.",C1
"Excuse me, would it be possible to change tables?",A2
"This is no surprise to anyone: with semi-confinement and teleworking, conflicts between neighbors have increased.",B1
"Write to me to tell me what you do, what your new colleagues are like and how things are going with your boss.",A2
I'm going out with some friends.,A1
Managing complexity will indeed be the major challenge of the 21st century.,B2
Marie-Hélène Lahaye has done and is doing a lot in the fight against obstetric and gynecological violence (VOG) but is using this affair incorrectly,C1
"Intelligent machine (capable of learning), already used in the context of leisure, education, medicine, police, army, space conquest, etc., the robot is dedicated to carrying out all the tasks for which we want, or can, program it.",C2
"But very quickly the use of the motorcycle spread, starting as a working tool for the liberal professions.",C1
"At the dawn of our modernity, Mary Shelley questioned human nature and not the machine: the face-to-face between Frankenstein and his autonomous creature questions the possibility of a man without a soul.",C1
"In the forest with scattered bursts of sunlight, motionless forest of ancient fear, he went along the tangles, beautiful and no less noble than his ancestor Aaron, brother of Moses, went, suddenly laughing and the wildest of the sons of the man, laughing with remarkable youth and love, suddenly plucking a flower and biting it, suddenly dancing, high lord with long boots, dancing and laughing in the blinding sun between the branches, dancing with grace, followed by the two reasonable beasts, of love and victory dancing while his subjects and forest creatures bustled irresponsibly, cute lizards living their lives under the leafy umbrellas of large mushrooms, golden flies tracing geometric figures, spiders emerging from the tufts of pink heather and watching over weevils on the prehistoric proboscis, ants touching each other and exchanging signs then returning to their solitary activities, wandering woodpeckers listening, lonely toads proclaiming their nostalgia, shy crickets tinkling, screaming owls strangely awake.",C2
I have lost my watch.,A1
"The objective is to bring about a change in attitude and a long-term commitment, and not to obtain any financial compensation, we assure you.",C1
In the evening you can take a boat ride to the Eiffel Tower.,A1
"The internet room is the second room after the toilets, on the left.",A1
"Last January, I wanted to leave a message on my brother's answering machine.",B1
"Next come the elderly, then the sick or disabled, who are the subject of increasing concern.",C1
a shepherd is a person responsible for guiding and caring for flocks of sheep or more generally livestock.,B1
"Hello, I would like two kilos of strawberries and one kilo of beans.",A1
"Republican senators but also a Democrat had openly declared themselves against her arrival at the post of director of the Office of Management and Budget at the White House (OMB), a very powerful service, notably responsible for developing the budget desired by the president .",B2
It's really about introducing computer science into general culture.,C2
"On newsstands since March 1, the magazine Changer tout summarizes the ambition of their reconversion.",C1
His father married four times and gave him ten legitimate brothers and two sisters who came after Leonardo.,C1
"Because, in fact, the French do not really have the best role: unpleasant, saying no to everything, preferring to smoke rather than eat, starting their working day at 10:30 a.m., they are also presented as being the kings of infidelity, a practice accepted by all, including deceived companions.",B2
"In the background, a large scarf of Bruges lace, of considerable price, widened an altar veil, two wings spread, of a reddish whiteness; ruffles of alençon stitch were thrown into garlands; then there was, by the handful, a stream of all the lace, the navy, the Valencian, the applications of Brussels, the points of Venice, like a fall of snow.",C2
She beat around the bush so much and more that the Marquis lost his patience.,C2
He's fat.,A1
"After a walk on the Champs-Élysées, I am at the foot of the Eiffel Tower",B1
"Earlier, they had been handed over to a prosecutor, escorted by 15 Japanese police officers who came specially to the United States on Saturday for the occasion.",C1
They are at the French high school.,A1
"As with The Witches Are NRV (School of Leisure), which has not aged a bit since 1988, and where articles, adverbs and pronouns enter into a wild dance, or even with LFHE the witch (School of Leisure), where this times it is the adjectives that are conjured up",C2
"He just asked for Bella's hand and the future seems bright, but. When the artist gives the last brushstroke to his canvas, the Nazis have already begun to expel the Jews, forced to leave their homes, taking what they can.",B2
"I always answer that it wasn't physically difficult, but that I had to work on the image that this comic gave.",B1
"You are embarrassed, almost offended by my confusion.",C2
He has already invented a machine to remove the skin from bananas!,A2
"Oh, it's good to have a change of scenery for a few days.",B1
"After the class, you will have a drink with us, laugh out loud and have a good time with your friends.",B1
I wish I could leave the office at 1 p.m.,B2
I eat grass,A1
"It takes time and courage to take care of all this menagerie. In addition to the animals, I also have to take care of my grandpa's vegetable garden.",A2
"We must learn a multitude of languages: scientific such as digital, foreign languages, the languages ​​of sounds and images, the language of the body.",B2
"It is the commemoration, that is to say the anniversary, of the end of the Second World War",B1
"Significant variations in this index over a period of less than several decades are unlikely in the absence of substantial territorial reforms, which was rarely the case in Switzerland after 2000 in international comparison.",C2
Statistically the risk of transmission of infectious diseases is significantly higher in certain situations.,C1
I had a very good day of vacation.,A1
What is your favorite song in the show?,A1
"If we look for positive sides to this bluette, some lines are well-felt and successful comic scenes, especially when it comes to the subtleties of our language and false friends, these words that are similar between English and French with different meanings.",B2
Traceability makes it possible to reconstruct a sequence of events from the digital data left in the systems during their creation.,C1
Anna was having fun with her brother when he broke his left arm.,A2
"Yes, I talk a little.",A1
There are two possibilities: either his accent will allow him to be known and that will be very good.,A2
"After 13 years also, for social reasons, the child begins to experience character constraints, reluctance due to the desire to defend his image, to the fear of ridicule, all things which are adult attitudes",C2
"A great lover of colors and Italian cuisine, Irène Jacob found in Slavic culture the strength to express feelings to the point of tragedy.",C1
I exercise every day.,A2
"No, it depends on the ease of the song.",A2
"Over the past ten years, China and India have seen an increase in the overweight rate of 5%.",C1
Hello how are you ?,A1
Let me know about you more often!,B1
"Yes, forest fires which have hit the south-east of the country since September and which claimed a 24th victim this weekend",B1
"Put this on your foot, it will relieve the pain.",A2
"Track 3, the TGV to Marseille Saint Charles will leave",B2
The Eiffel Tower is the symbol of the city of Paris,B1
"With the money, our teacher will buy paint and pencils for the drawing class.",A2
"But, Bacon continues, science must overcome these fears and scruples: it must triumph over the feeling of powerlessness which paralyzes it.",C2
What is your opinion ?,A2
They had imagined that they would be able to overcome their grief by embarking on renovation work.,B2
"The countess began to see again, with Fabrice, all these enchanting places near Grianta, and so celebrated by travelers: the villa Melzi on the other side of the lake, opposite the castle, and which serves as her point of sight; above the sacred wood of Sfondrata, and the bold promontory which separates the two branches of the lake, that of Como, so voluptuous, and that which runs towards Lecco, full of severity: sublime and graceful aspects, that the most renowned site of the world, the Bay of Naples, equal, but not superior.",C1
"Here in the palace the air was heavy and stifling, but in the forest the wind blew freely and the sun, with its caressing golden fingers, parted the quivering leaves.",C1
As soon as she entered she was disturbed by the cigarette.,C2
"Furthermore, the structural consequences of such recognition for an organization are not negligible.",C2
"This being well understood, I believe that we will remain at rest."" Like Pascal, Edgar Morin seeks to unsettle the rationalist who, in the midst of the current crisis of our relationship with nature, doubts neither his approaches nor his desire to impose order.",C2
"At the top of the towers, it is not advisable to linger too long in front of the Parisian panorama",C2
The discipline is still considered to be reserved for men.,B2
I suggest that everyone brings something to eat.,A1
You must be held accountable for your crimes.,B1
But no dolls house,A2
I'm afraid of the dark.,A1
"We sat on a bench covered in greenery, facing the sparkling skies and we saw the dawn awaken.",C2
After that we were a little tired,A2
There was therefore a vague concern about my character among the small audience around me.,C2
"""The demon left very quickly, and he rushed into the hole, where, alas, he found the wicked woman.",B1
"However, the consequences of implementing such management practices make it possible to question the real reasons which push a company to evaluate its knowledge",C2
"Thus Abbot Blanès had not communicated his rather difficult knowledge to Fabrice; but, unbeknownst to him, he had inoculated in him an unlimited confidence in the signs which can predict the future.",C1
"The 9th United Nations climate conference ended yesterday, in a mixed atmosphere.",C1
"OK, so shall we keep you posted for next Saturday?",A2
"The Falcon 1 is a theoretically reusable launcher which can place, according to its manufacturer, 670 kg into low orbit.",C1
The cake is in the fridge.,A2
"Born from the English contraction of ""no-mobile phobia"", nomophobia is, to simplify, an obsessive and continual fear of not having your smartphone in working order with you.",B2
"Large portions for the warriors and for Zahor, small portions for the women and children and finally the bones for the dogs.",A2
My neighbor's dog makes a lot of noise.,A1
"Professional success makes you forget age, failure reminds you of it, he admits.",C1
The artist who arrives from Evry in Île-de-France with a literary baccalaureate in his pocket has some delusions,B1
"Currently, the resources allocated for population monitoring are decreasing, and the systematic observation of all municipalities (or all zones) is called into question; in this context, it seems interesting to monitor populations based on a specifically dedicated spatial division, rather than using the municipal network as an observation grid.",C1
I plan to arrive at eight o'clock.,B1
"There is another horizon that biologists are announcing: the sixth extinction of species, which will only spare farm animals suitable for direct exploitation.",C1
It is unlikely that you will need to water the plants often.,B2
"This profession is only suitable for the start of a career, in sales, for example.",B1
They ride a human-sized rooster.,B2
They had a big party every year.,B1
"I don't know what instinct warned me to distrust these general axioms so free from all restrictions, so pure of all nuance.",C2
I will call you as soon as I receive the documents,B1
It's Manon's favorite dish,A2
"It overlooks the garden, you will be very comfortable there.",A1
The rise of humanist values ​​is a reality that continues and asserts itself.,B2
We thank you for your understanding and we wish you an excellent day.,A2
"It takes place in many countries, but on different dates and with different traditions.",A2
"I went to see where she lives, without telling anyone.",A2
"Finally, it is also a question of skepticism, a realization of stoicism, and decrying the other being as subjective and therefore calling into question its truthful and absolute aspect.",C2
"For me, it's not at all frustrating, I'm very happy to go to France and I've wanted to come to Brittany for a very long time, so for me, it was a very good opportunity.",B1
I will give numbers!,A1
"The government wants to fight fraud in energy renovation, in particular by strengthening controls and tackling “abusive telephone canvassing”.",C2
"More than just a visit, the walker will go back in time and thus discover part of the history of the region.",B1
"While working, I drink a lot of tea.",B1
"Philae, which landed in the shade between rocks, initially operated with a battery with a lifespan of 60 hours.",B1
"Initially, speakers are under very strong pressure - political, social or economic - to speak the dominant language.",C1
"She is a singer, and she is Malian.",A1
"At that time, modern naming conventions had not yet developed in Europe.",C1
Nothing else.,A1
It's nice !,A1
He quickly took out the phone and glanced at the screen before answering.,B2
The ball is gone.,A1
Today it's a raspberry tart with homemade jam,A2
"If the mind consists of grasping itself, in its own opposition to itself, no period is better marked by its advent than that of absolute subjectivism.",C2
"How far, in miles, is the cabin from town?",B1
"When there is a strong sun on the map, it will be hot in the region",B1
What if we went to the cinema,B1
I want to go for a walk too!,A1
"Abandon without qualms the traditional holiday notebook that three-quarters of children do not finish: the list of alternative products which aim to ""make people love"" as much as to ""make them revise"" is long.",C1
The forest gave them abundant wood for homes and buildings; the wild beasts which escaped came to be caught in their traps and supplied them with venison.,B2
Writing seems to have become the fashionable professional reconversion in the world of organized crime.,B2
Do you have a car but don't use it much?,A2
"The pressure cooker effect If seven million city dwellers dream of starting a new life in the fields, not all of them take action.",C1
It can also make you addicted. The smartphone is now omnipresent in our lives: 58% of French people say they have their mobile with them 24 hours a day; 41% even consult it in the middle of the night and 7% go so far as to respond to their messages in their bed.,B2
He's pretty calm.,A1
"I had fish with rice, and my brother chose a simple steak and fries",A2
"And in this inert city, this screaming crowd so surprisingly missed its cry like this city missed its movement, its meaning, without worry, next to its true cry, the only one we wanted to hear. to cry out because we feel it is ours alone; because we feel him dwelling in it in some deep refuge of shadow and pride, in this inert city, this crowd alongside its cry of hunger, of misery, of revolt, of hatred, this crowd so strangely talkative and mute.",C2
We are normally at a time of year when this type of phenomenon is decreasing,A2
I'm eager to !,A1
He wiggles his little pink nose when he sees me My grandmother bakes cakes every day,A2
"A nothingness with respect to the infinite, a whole with respect to nothingness, a middle between nothing and everything, infinitely far from understanding the extremes."" Our Pascal is that of the man located between two infinities, a mixture of folly and wisdom.",C2
"In my family, we love tasting local specialties so we tried everything, from sauerkraut to tarte flambée to kouglofs",B1
I am new here.,A1
Yes I think.,A1
"Florian Kirchner, responsible for the NGO's species program, recalls the many issues and challenges that await our country, but also the world, in terms of conservation and protection of fauna and flora.",C1
"In Germany, for example, we don't have classes in the afternoon, while we stay at school until 5 p.m.",B1
How are you ?,A1
Children in chorus: Peas with salad!,A2
"No, said one of these gentlemen, we ask you if you do not love the king of the Bulgarians tenderly.",B1
"The regiment was composed of two thousand men; this made four thousand strokes of the wand, which, from the nape of his neck to his ass, exposed his muscles and nerves.",B2
"If the hundreds of millions of hungry people on the planet are unacceptable, the international food situation nevertheless shows, according to specialists, ""slow but tangible signs of improvement"".",C1
He was just a little curious.,A2
"My dear Sonia, I have arrived safely in London for my final year of marketing studies at university.",B1
Several countries have begun to apply the principles of intelligent management of a resource long considered inexhaustible.,B2
Someone will have to help the little one do it.,A2
The bus driver is late.,A1
I see no contradiction between the promotion of regional languages ​​and the defense of French,C2
"The growing weight of Japan, the emergence of the newly industrialized countries (NIC) and, above all, the spectacular rise of China recall realities much older than an economic hierarchy between Westerners and the rest of the World.",C2
He never says anything that could unduly affect our self-esteem.,C1
He's coming soon.,A1
"Indeed, even if you don't want to buy something, it is always interesting to spend time in shopping centers",B1
"From the top of the Eiffel Tower, you can see the main monuments of Paris",B1
It is in Italy that the two words are most often associated.,A2
"When the G20 on April 15 decided on the moratorium, it was the first time that China agreed, in a multilateral framework, to participate in a moratorium.",B2
"Fabrizio's eyes grew wet, he shed tears as he kissed the countess, but his resolution to leave was not shaken for an instant.",C1
The menu is created every day based on what the chefs find at the Lyon market.,B1
"We question the moral and financial support of public authorities for an awareness campaign whose message (""Buy coffee that allows you to sleep peacefully"", advertising insert for the Max Havelaar France brand) oozes the old colonial culture which still marks today our collective imaginations and our relationship with the world: is the role of the State to finance ""ethical communication"" operations of multinational brands?",C1
They are the ones who count them and put them in our basket.,A2
The players quickly recovered after the disastrous attempt to level the score before half-time.,C1
You didn't forget! You cleaned the house from top to bottom.,B1
"A man of networks, the wanderer has not cut ties with the country, which he maintains thanks to the solid network of European posts.",C2
"Reviewed once, this time it will be more easily accessible""",C1
"According to CNES calculations, Philae's battery should have been completely discharged around 02:00 GMT (03:00 local).",B2
"But, when from an ancient past nothing remains, after the death of beings, after the destruction of things, alone, more frail but more vivid, more immaterial, more persistent, more faithful, the smell and the flavor remain for a long time. , like souls, to remember, to wait, to hope, on the ruin of everything else, to carry without wavering, on their almost impalpable droplet, the immense edifice of memory.",C2
"You see, the role of school has changed.",A2
"Last year, I went to the banks of the Loire for the holidays.",A2
She is tall !,A1
"There are some who say it's too much, but not me.",B1
"Senators elected by majority vote, whose seat becomes vacant due to death, acceptance of the functions of member of the Constitutional Council or Defender of Rights or extension beyond the six-month period of a temporary mission entrusted by the Government are replaced by the people elected at the same time as them for this purpose.",C2
"The birth of nation-states, whose territorial unity was closely linked to their linguistic homogeneity, also played a decisive role in the consolidation of languages ​​adopted as national, and the marginalization of others.",C1
"According to Marx, the men who make work a constraint are those who produce the objects of men's desire",C2
"I know that she is often alone at home, and that he comes home very late in the evening.",A2
"It's practical, I mean, the moment of convalescence, you wear a mask, so generally speaking it's not visible anyway.",B1
The director explained to me that he had searched for a long time for the ideal actor.,B1
"Because without uncertainty we would be confined to a dull life, the fresco of which would only be tinged with shades of gray, in a complete absence of colors.",C2
"In 2003, the French spent 30 billion euros, to the great benefit of the sector's industry and the croupier state, which takes its tithe.",C2
"Conversely, distant temperate regions were of little interest to colonizers until the demographic explosion of the Old Continent in the 19th century, when the new countries became European settlements.",C2
"These children had obtained some small keys, and when the night was very dark, they tried to open the padlocks of these chains which attach the boats to some large stone or tree near the shore.",C1
"We continue to speak English at home, because my parents don't want me to lose my native language",A2
"Peasants and lords, with plaids on their shoulders, all sang together a hunting song; then a captain appeared who invoked the angel of evil by raising his two arms to heaven; another appeared; they departed, and the hunters continued.",C2
The set also has a reduced number of parts.,C1
It is also a test for newly formed couples or who have never experienced life together.,B1
I asked him what we should do.,A2
We're going to the restaurant.,A1
"If you only eat vegetables, this restaurant is not for you!",B1
You are French.,A1
"He saw himself penetrating into the heart of the great forest, and discovering a woman sleeping among the branches, lying on a bed of moss.",B2
I started my day playing the piano.,A2
"If you want to come with me, I'll show you to your table.",A2
"There are tools to spot it, specify the promoters of the method.",B2
"The Anatole France center is located in the city center, a few steps from the town hall.",B1
"It is interesting to note that until 1995, the Deauville Festival was not competitive",A2
I'm bringing together everyone I love to celebrate the arrival of summer.,A1
The hotel had a nice swimming pool which I didn't have time to take advantage of.,B1
"A disappointed person is someone who did not get what they expected, what they hoped for.",A2
"Some, perched on the roof or the wing, refused to come down.",C1
But this year we don't know if we will be able to go.,B1
"Adnane's words were entirely inoculated against the omnipresent words of the wooden language of the time, as if he had sieve ears filtering the words of the media and loudspeakers planted in each neighborhood.",C2
He also wears red glasses,A1
It makes me happy to eat good things.,A2
Every winter poses a new threat.,B2
"It is pleasant to walk around to observe butterflies, bees and listen to birdsong.",A1
"A breath of wind dispersed them, the stone had darkened again, but, as if tamed, they returned; she imperceptibly began to whiten again and by one of these continuous crescendos like those which, in music, at the end of an overture, take a single note to the supreme fortissimo by making it pass quickly through all the intermediate degrees, I saw her reach this unalterable and fixed gold of the good days, against which the cut shadow of the ornate support of the balustrade stood out in black like a capricious vegetation, with a tenuity in the delineation of the smallest details which seemed to betray an applied conscience, an artist's satisfaction, and with such relief, such velvet in the rest of its dark and happy masses that in truth these broad and leafy reflections which rested on this lake of sun seemed to know that they were pledges of calm and happiness.",C2
"National, then international, networks were created to provide information to their members, prepare awareness campaigns, and even do lobbying.",C1
"It would have been said that by pointing out their ridicule, I was betraying a confidence they had made to me; one would have said that by showing themselves to me as they were, they had obtained from me the promise of silence: I was not aware of having accepted this too onerous treaty.",C2
You won't risk getting bored in such a lively place.,A2
"We usually buy fifteen apples, they count them and put them in our basket.",A2
"Motorcycles can be classified into different types, with each type having different characteristics such as handling, weight or riding position.",C1
"This time, it's you who caricatures!",A2
"Without his coat and gloves, they would have frozen to death.",B2
"According to orders from Vienna, the Austrian general received the Marquis del Dongo with consideration bordering on respect; they hastened to offer him one of the first places in the government, and he accepted it as the payment of a debt.",C1
"According to predictions, 50 to 90% of the languages ​​spoken today will die during this century.",C1
I go to school during the day. My father's name is Alain.,A1
"Because to the temptation carefully encouraged by the industry's manufacturers, we add the very fascination of the game, whose power of seduction can sometimes make us lose our footing.",C2
I kiss you.,A2
The weather was still very nice and above all very hot.,A2
"Others tolerate this promiscuity less well and ""are already starting to see the walls closing in on them"", notes the American daily, which collected the testimony of Hugo, 26 years old.",C1
He takes the bus every evening.,A2
"After this heroic declaration the countess no longer wanted Count N's horses or the box. But for fifteen years she had been accustomed to the most elegant life: she had to solve this difficult or, better to say, impossible problem: living in Milan with a pension of fifteen hundred francs.",C1
There were many spectators and everyone enjoyed the Festival.,A2
"For more information, you can come see the school doctor every day in office 4B, on the 4th floor.",A2
"He heard throughout this vast house a confused noise, this rustling of the large restaurants made up of the noise of dishes and silverware being knocked together, of the sound of the boys' rapid footsteps softened by the carpet in the corridors, of the sound of doors opening for a moment and letting 147 escape the sound of voices from all these narrow rooms where people who are dining are confined.",C2
Become a goat,C1
Some families have a tradition of leaving cookies and a glass of milk near the tree to thank Santa.,B1
don't get killed.,B1
"In 1913, less than 1 in 3 workers, due to exemptions, actually benefited from these twenty-four hours off work.",C2
"In the tribe, we don't like children without a father, they say that they are the children of evil spirits.",B1
"Even though I'm not a fast food fanatic, I don't see why I wouldn't eat pizza and hamburgers.",A2
In front of the house there is a tiny courtyard.,A2
"News, news, while it's spring, news while it's spring - ""winter""",C1
A friend wrote me a letter.,A1
"Then, taking my sheep out of his pocket, he immersed himself in the contemplation of his treasure.",B2
"It's full of reasons, accusations, syllogisms, slander, words that will drive you crazy!",C2
"The proliferation of slash-and-burn cultivation has largely degraded the Ivorian forest, while Gabon has more to fear from the opening of its forest cover to industrial logging.",B2
"Once he's finished everything, Théo can finally go play and have fun before having dinner with his parents.",A2
It must be done with water.,B1
"She laughed, walked back and forth, knowing she was admired, feeling that her dress fit well in all the right places.",C1
Is there a wardrobe?,A1
"To dissuade his high school students from studying fine arts, circus school or a performing arts diploma, a principal used to tell them this story.",C1
"In North America, LeeAnn Walters, a housewife, was recognized for creating a grassroots movement that exposed the contaminated water crisis in Flint, Michigan.",B1
"On Mother's Day, the tradition most often consists of offering a small gift to mothers, like in France.",A2
Who does the pasha help?,A2
Illusion of ugliness which is a changing opinion! Illusion of the never immutable truth!,B2
She puts on her hat and goes to the local grocery store.,A2
"The light fell so implacably from the sky which had become fixed that one would have liked to escape its attention, and the still water itself, whose insects perpetually irritated one's sleep, no doubt dreaming of some imaginary Maelstrom, increased the disturbance in which I had thrown the view of the cork float, seeming to drag it at full speed across the silent expanses of the reflected sky; almost vertical it seemed ready to dive and already I was wondering if, without taking into account the desire and the fear I had of knowing her, I did not have the duty to warn Miss Swann that the fish was biting - when I had to run to join my father and my grandfather who were calling me, surprised that I had not followed them on the little path which goes up towards the fields and where they had started.",C2
"Fortunately, out of pure modesty, he had not mentioned the diamonds given by his mother.",B2
"He accepts differences, he is tolerant.",B1
The influence of the microbiota on our behavior has been observed.,C1
The training will end with a check to see if the owner has integrated the knowledge.,B2
The robot managed to launch a last-minute drill although it is not yet known whether it was able to bring back a sample of the comet's surface.,B1
The children sang the songs they learned from their teacher,C2
"Clearly, adolescent girls suffer from an inferiority complex compared to their male counterparts, as this sociologist of education has shown in a reference work, L'Ecole des Filles (L'Harmattan).",C1
"When I listen to my music, I have to enjoy it and that's why I'm demanding, I think",A2
"An exhibition of silks, satins and velvets blossomed, in a supple and vibrant range, the most delicate tones of the flowers: at the top, the velvets, a deep black, the white of curdled milk; further down, the satins, the pinks, the blues, with their vivid breaks, fading into pallors of infinite tenderness; lower still, the silks, the whole scarf of the rainbow, pieces rolled up into shells, pleated as if around a waist that arches, becoming alive under the learned fingers of the clerks; and, between each motif, between each colorful phrase on the display, ran a discreet accompaniment, a light bubbled cord of cream scarf.",C2
"Society bothers me, loneliness overwhelms me.",C2
We want to overcome the legal and technical obstacles that prevent us from intercepting Skype telephone conversations between suspects.,C1
My mother is German and is a lawyer,A1
"Edgar, sparkling with fury, dominated all the others with his clearer voice.",C1
"He had always granted, sometimes anticipated, my requests in this regard.",C1
"It’s great, I saw everything before you!",A2
"Fortunately for him, the tears that clouded Laurence's eyes reflected his joy, just like his radiant smile.",B2
"God willing Hello, Anne!",A1
It's a park where people come to walk with family and friends,B1
"In a large room with a refined design, there are around fifty students aged 18 to 34, their eyes glued to their computer screen.",B2
I came as soon as I heard the news.,A2
“How do you want to ask for a grammatical analysis or talk about the relative pronoun to a child who only uses juxtaposed clauses?”,C2
"When you're a teenager, you ask yourself lots of questions.",A2
He opened a hikers' lodge in Haute-Savoie.,C1
"At 50-55 years old, the second adult life begins, to which it will be necessary to give a name, a status, a content.",C1
Tomorrow we will get up early and walk in the woods around the manor.,B1
"We should first show him around the rooms, the dining room, and the rest.",B1
I hope you enjoyed this new story.,A2
"According to testimonies from business leaders collected in the France Info Guide The disabled employee in the company, the latter is an employee like the others, with the added bonus of the desire to get by.",B1
"Endowed with 410 million dollars, it will be used to finance the adaptation of countries in the South and the development of clean energies.",C1
I'm hungry,A1
"I have often been asked how I managed to understand Coluche, and what I remember from this shoot.",B1
"We then recognize that it covers multiple analyses, actors, stories and practices with complementary or different, even antagonistic, purposes.",C1
"I soon gave myself, through this conduct, a great reputation for levity, persiflage, and wickedness.",C2
"My car is very ecological, it runs on solar energy",B1
"Stop: first of all, realize that real new fathers have no desire to be called that.",B2
"Then I would fight with Daffy, my stuffed duck, I would chew on my squeaky bone or I would sing in unison with the neighbor's radio",C1
"The insufficient number of trained teachers is also a barrier for many opponents of this measure, who consider it inapplicable.",C2
"As always, history can provide interesting lessons.",B2
Alright !,A1
Go away!,A1
Fabrizio's sisters entered their mother's house while the countess was sewing these diamonds into our hero's traveling outfit; he gave these poor women back their puny napoleons.,B2
This accused would have defended himself with the energy of the condemned.,B2
"Like Monsieur, a computer scientist and founder of the math bookstore, for whom ""there are so many ways to love mathematics [that he offers] numerous products that are more or less literary, more or less fun.""",C2
What is your hometown ?,A1
May 8 is Victory Day,A2
"Going back in time, we see that the decline in linguistic diversity was considerably accelerated by European colonial conquests which eliminated at least 15% of the languages ​​spoken at the time.",C1
"The extension after 1945 of the meritocratic principle to all higher administrative and economic careers, with the National School of Administration and the development of business schools, led to the establishment in the 1960s of the Grandes Ecoles system. as it still exists today.",C2
"This is what Hervé Brassier learned, who could talk for hours about his guide dog, Indigo: This dog brings me a lot of happiness.",B1
"Delphine, I'm waiting for you at the corner of the street, in front of the pharmacy",A1
"For example, to gain ten steps of land on the lake, near the famous avenue of plane trees, next to the Cadenabia, he had a dike built at a cost of eighty thousand francs.",C1
It then expanded to other establishments,B1
"It's been a long time since I've had a beer like that, don't worry.",A2
"Its virtual space, unique in its kind, is celebrating its two years of existence, and offers a beautiful collection of alternatives to the holiday notebook",C2
I eat at the cafeteria.,A1
"The count had refused to take service in Austria; this refusal was asserted, and, a few months after Prina's death, the same people who had paid the assassins obtained that General Pietranera would be thrown into prison.",C1
Foreign armed troops are sometimes invited to parade alongside French armies,B2
Chronic inflammatory bowel diseases are among the public health priorities in gastroenterology.,C1
The other element is that some teachers are developing educational use of digital tools.,B2
Your French high school organizes a day every year where families can come and observe classes.,B2
"Despite the reluctance of the Italian government, the United States government, for its part, has expressed an interest in knowing the steps taken by investigators from the 27 member countries of the European Union.",C1
"Eat with gusto, because tonight we will dine in hell!",B2
"This index, based on the Herfindahl‐Hirschmann formula used in the field of economics as a measure of market concentration, represents in our case the degree of fragmentation, or vice versa consolidation, of the institutional structure of the cantons.",C2
I realize this is a comedy.,B1
"Ellenore had until then had no notion of this passionate feeling, of this existence lost in hers, of which my very fury, my injustices and my reproaches were only more irrefutable proof.",C1
"The latter would have produced mithridatized rats, pathologically aggressive, with formidable jaw strength.",C2
I can't find the books I took from the library.,A2
"A jug of water, please.",A1
"Some, however, hate this gap in their schedule, this emptiness, this dead time.",C2
It's a pleasure to meet you.,A1
"Without ever specifying how he sources his paper, Kassák draws, takes notes and above all writes poems which he sends to newspaper editorial offices via a friend who remained in Budapest.",C2
"But others disagreed: His accent is so strong that the listener will forget what he is saying, Politics is too serious a subject to be entrusted to such a singing intonation, etc.",B1
Or what she prefers: I read stories to her.,A2
The tea is too hot to drink.,A1
This burning sword gnawed at my eyelashes and searched my painful eyes.,C2
"The driver, called a moped rider, biker or motorcyclist, sits astride the saddle, his hands hold the handlebars and his feet are on footrests.",C2
"no path was passable, there were so many trees lying down everywhere",C1
"Yes, thank you, that’s nice!",A2
"It then becomes part of another network, woven as the journey progresses: that of vagabonds, made up of routes, asylums and encounters.",C2
I am 25.,A1
My name is Marie.,A1
"Rosa: Yes, thank you! Tell me, is there a concert tonight?",A2
"One of its latest initiatives was the creation of the Best of Doc festival, the first edition of which took place in November 2019.",C1
"Hello, it's my last day at this school.",A1
"The concierges, in shirtsleeves, astride straw chairs, smoked pipes under the carriage doors, and the passers-by walked with dejected steps, bare foreheads, hats in their hands.",C2
"When they get too close to the tribe, the women throw stones at them and the men chase them away.",B1
Education is supposed to prepare the younger generation for the future.,B2
"The new municipal majority has just decided to reduce the annual subsidy allocated to the Lyon Opera by 500,000 euros.",C1
I'm going to go get some bread from the bakery for breakfast.,A2
"Finally, don't forget the makeup",B1
"As enlightenment increases, the human mind seems to expand and the boundaries expand.",C2
I like climbing.,A1
She made several appointments for the director,B1
My son was born this morning.,A1
"He explored the entire ground floor and discovered a lean-to, or rather a small shed cluttered with old crates and two wrecked vans.",C1
"He described his homeland as a dry and almost arid peninsula, although strewn with olive trees; but although it was - he admitted it himself - less cheerful and less fertile than the country in the shadow of the forest, he spoke of it with so much love that the young prince remained under the spell in it. 'listening.",B2
"After having made him travel a good league, on foot, in the darkness made apparently deeper by the fires of the bivouacs which lit up the horizon on all sides, the adjutant handed Fabrice over to a gendarmerie officer who, with a looking serious, asked him for his papers.",C1
You studied seriously and succeeded without the slightest effort on your part.,B1
You are very nice.,A1
The department provided financial assistance to all high school students who obtained their baccalaureate diploma with “very good” honors.,B2
The tax jurisdiction of municipalities is reduced because it depends on cantonal law.,B2
"Finally, in the Middle East, Mother's Day takes place on the first day of spring, March 21.",B2
