sentence,difficulty
"Au sommet des tours, il est déconseillé de s'attarder trop longtemps devant le panorama parisien",C2
La discipline est encore considérée comme réservée aux hommes.,B2
Je suggère que chacun apporte quelque chose à manger.,A1
Vous devez être tenu responsable de vos crimes.,B1
Mais pas de maison de poupées,A2
J'ai peur du noir.,A1
"Nous nous sommes assis sur un banc recouvert de verdure, face au ciel scintillant et avons vu l'aube se réveiller.",C2
Après ça nous étions un peu fatigués,A2
Il y avait donc une vague inquiétude quant à mon caractère parmi le petit public qui m'entourait.,C2
""" Le démon partit très vite, et il se précipita dans le trou, où, hélas, il trouva la méchante femme.",B1
"Cependant, les conséquences de la mise en œuvre de telles pratiques de gestion permettent de s'interroger sur les véritables raisons qui poussent une entreprise à évaluer ses connaissances.",C2
"Ainsi l'abbé Blanès n'avait pas communiqué à Fabrice son savoir assez difficile ; mais, à son insu, il lui avait inoculé une confiance illimitée dans les signes qui peuvent prédire l'avenir.",C1
"La 9e conférence des Nations Unies sur le climat s'est terminée hier, dans une ambiance mitigée.",C1
"OK, alors on vous tient au courant pour samedi prochain ?",A2
"Le Falcon 1 est un lanceur théoriquement réutilisable qui peut placer, selon son constructeur, 670 kg en orbite basse.",C1
Le gâteau est au réfrigérateur.,A2
"Née de la contraction anglaise de « no-mobile phobia », la nomophobie est, pour simplifier, une peur obsessionnelle et continuelle de ne pas avoir son smartphone en état de marche avec soi.",B2
"De grosses portions pour les guerriers et pour Zahor, des petites portions pour les femmes et les enfants et enfin les os pour les chiens.",A2
Le chien de mon voisin fait beaucoup de bruit.,A1
"La réussite professionnelle fait oublier l'âge, l'échec le rappelle, avoue-t-il.",C1
L'artiste qui arrive d'Evry en Île-de-France avec un baccalauréat littéraire en poche se fait quelques délires,B1
"Actuellement, les ressources allouées au suivi de la population diminuent et l’observation systématique de toutes les communes (ou de toutes les zones) est remise en question ; dans ce contexte, il semble intéressant de suivre les populations selon un découpage spatial spécifiquement dédié, plutôt que d'utiliser le réseau communal comme grille d'observation.",C1
Je prévois d'arriver à huit heures.,B1
"Il existe un autre horizon qu’annoncent les biologistes : la sixième extinction d’espèces, qui n’épargnera que les animaux d’élevage aptes à une exploitation directe.",C1
Il est peu probable que vous ayez besoin d’arroser les plantes souvent.,B2
"Ce métier ne convient qu’au début de carrière, dans la vente par exemple.",B1
Ils montent un coq à taille humaine.,B2
Ils organisaient une grande fête chaque année.,B1
"Je ne sais quel instinct m'a poussé à me méfier de ces axiomes généraux si libres de toutes restrictions, si purs de toute nuance.",C2
Je vous appellerai dès réception des documents,B1
C'est le plat préféré de Manon,A2
"Il donne sur le jardin, vous y serez très à l'aise.",A1
La montée des valeurs humanistes est une réalité qui se poursuit et s’affirme.,B2
Nous vous remercions de votre compréhension et vous souhaitons une excellente journée.,A2
"Il a lieu dans de nombreux pays, mais à des dates différentes et avec des traditions différentes.",A2
"Je suis allé voir où elle habite, sans en parler à personne.",A2
"Il s'agit enfin aussi de scepticisme, d'une prise de conscience du stoïcisme, de décrier l'autre comme subjectif et donc de remettre en cause son aspect véridique et absolu.",C2
"Pour moi, ce n'est pas du tout frustrant, je suis très content de partir en France et je voulais venir en Bretagne depuis très longtemps, donc pour moi, c'était une très bonne opportunité.",B1
Je vais donner des chiffres !,A1
"Le gouvernement veut lutter contre la fraude dans la rénovation énergétique, notamment en renforçant les contrôles et en s'attaquant au « démarchage téléphonique abusif ».",C2
"Plus qu'une simple visite, le promeneur remontera le temps et découvrira ainsi une partie de l'histoire de la région.",B1
"En travaillant, je bois beaucoup de thé.",B1
"Philae, qui s'est posé à l'ombre entre les rochers, fonctionnait initialement avec une batterie d'une durée de vie de 60 heures.",B1
"Dans un premier temps, les locuteurs subissent une très forte pression – politique, sociale ou économique – pour parler la langue dominante.",C1
Elle est chanteuse et elle est malienne.,A1
"À cette époque, les conventions de dénomination modernes n’étaient pas encore développées en Europe.",C1
Rien d'autre.,A1
C'est bien !,A1
Il sortit rapidement le téléphone et jeta un coup d'œil à l'écran avant de répondre.,B2
Le ballon est parti.,A1
Aujourd'hui c'est une tarte aux framboises avec de la confiture maison,A2
"Si l'esprit consiste à se saisir, dans sa propre opposition à soi, aucune époque n'est mieux marquée par son avènement que celle du subjectivisme absolu.",C2
"À quelle distance, en miles, se trouve la cabane de la ville ?",B1
"Quand il y a un fort soleil sur la carte, il fera chaud dans la région",B1
Et si on allait au cinéma,B1
"Moi aussi, j'ai envie d'aller me promener !",A1
Abandonnez sans état d'âme le traditionnel cahier de vacances que les trois quarts des enfants ne terminent pas : la liste des produits alternatifs qui visent à « faire aimer » autant qu'à « faire réviser » est longue.,C1
La forêt leur fournissait du bois en abondance pour les maisons et les bâtiments ; les bêtes sauvages qui s'échappaient venaient se prendre dans leurs pièges et leur fournissaient du gibier.,B2
L’écriture semble être devenue la reconversion professionnelle à la mode dans le monde du crime organisé.,B2
Vous possédez une voiture mais vous ne l'utilisez pas beaucoup ?,A2
"L'effet cocotte minute Si sept millions de citadins rêvent de commencer une nouvelle vie aux champs, tous ne passent pas à l'action.",C1
Cela peut aussi vous rendre accro. Le smartphone est désormais omniprésent dans nos vies : 58% des Français déclarent avoir leur mobile avec eux 24h/24 ; 41% le consultent même en pleine nuit et 7% vont jusqu'à répondre à leurs messages dans leur lit.,B2
Il est plutôt calme.,A1
J'ai mangé du poisson avec du riz et mon frère a choisi un simple steak et des frites,A2
"Et dans cette ville inerte, cette foule hurlante manquait si étonnamment son cri comme cette ville manquait son mouvement, son sens, sans souci, à côté de son vrai cri, le seul qu'on voulait entendre. crier parce que nous sentons que cela n'appartient qu'à nous ; parce qu'on le sent habiter là dans quelque profond refuge d'ombre et d'orgueil, dans cette ville inerte, cette foule aux côtés de ses cris de faim, de misère, de révolte, de haine, cette foule si étrangement bavarde et muette.",C2
Nous sommes normalement à une période de l'année où ce type de phénomène diminue,A2
J'ai hâte !,A1
Il remue son petit nez rose quand il me voit Ma grand-mère fait des gâteaux tous les jours,A2
"Un néant par rapport à l'infini, un tout par rapport au néant, un milieu entre rien et tout, infiniment loin de comprendre les extrêmes."" Notre Pascal est celui de l'homme situé entre deux infinis, un mélange de folie et de sagesse.",C2
"Dans ma famille, on adore goûter les spécialités locales alors on a tout essayé, de la choucroute à la tarte flambée en passant par les kouglofs.",B1
Je suis nouveau ici.,A1
Oui je pense.,A1
"Florian Kirchner, responsable du programme espèces de l'ONG, rappelle les nombreux enjeux et défis qui attendent notre pays, mais aussi le monde, en matière de conservation et de protection de la faune et de la flore.",C1
"En Allemagne, par exemple, nous n'avons pas de cours l'après-midi, alors que nous restons à l'école jusqu'à 17 heures.",B1
Comment vas-tu ?,A1
Enfants en chœur : Petits pois à la salade !,A2
"Non, dit l'un de ces messieurs, nous vous demandons si vous n'aimez pas tendrement le roi des Bulgares.",B1
"Le régiment était composé de deux mille hommes ; cela fit quatre mille coups de baguette qui, de la nuque jusqu'aux fesses, exposèrent ses muscles et ses nerfs.",B2
"Si les centaines de millions de personnes affamées sur la planète sont inacceptables, la situation alimentaire internationale montre néanmoins, selon les spécialistes, « des signes lents mais tangibles d'amélioration ».",C1
Il était juste un peu curieux.,A2
"Ma chère Sonia, je suis bien arrivée à Londres pour ma dernière année d'études en marketing à l'université.",B1
Plusieurs pays ont commencé à appliquer les principes de gestion intelligente d’une ressource longtemps considérée comme inépuisable.,B2
Quelqu'un devra aider le petit à le faire.,A2
Le chauffeur du bus est en retard.,A1
Je ne vois aucune contradiction entre la promotion des langues régionales et la défense du français,C2
"Le poids croissant du Japon, l’émergence des nouveaux pays industrialisés (NPI) et surtout la montée spectaculaire de la Chine rappellent des réalités bien plus anciennes qu’une hiérarchie économique entre les Occidentaux et le reste du monde.",C2
Il ne dit jamais rien qui puisse affecter indûment notre estime de soi.,C1
Il arrive bientôt.,A1
"En effet, même si l'on n'a pas envie d'acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux.",B1
"Du haut de la Tour Eiffel, vous pourrez voir les principaux monuments de Paris",B1
C'est en Italie que les deux mots sont le plus souvent associés.,A2
"Lorsque le G20 a décidé le 15 avril un moratoire, c'était la première fois que la Chine acceptait, dans un cadre multilatéral, de participer à un moratoire.",B2
"Les yeux de Fabrice s'humidifièrent, il versa des larmes en embrassant la comtesse, mais sa résolution de partir ne fut pas ébranlée un instant.",C1
Le menu est élaboré chaque jour à partir de ce que les chefs trouvent au marché de Lyon.,B1
"Nous nous interrogeons sur le soutien moral et financier des pouvoirs publics à une campagne de sensibilisation dont le message (« Achetez du café qui vous permet de dormir tranquille », encart publicitaire pour la marque Max Havelaar France) suinte de la vieille culture coloniale qui marque encore aujourd'hui nos imaginaires collectifs et notre rapport au monde : le rôle de l'État est-il de financer les opérations de « communication éthique » des marques multinationales ?",C1
Ce sont eux qui les comptent et les mettent dans notre panier.,A2
Les joueurs ont rapidement récupéré après la tentative désastreuse d'égaliser le score avant la mi-temps.,C1
Vous n'avez pas oublié ! Vous avez nettoyé la maison de fond en comble.,B1
"Homme de réseaux, le vagabond n'a pas coupé les liens avec le pays, qu'il entretient grâce au solide réseau des postes européennes.",C2
"Révisé une fois, il sera cette fois plus facilement accessible""",C1
"Selon les calculs du CNES, la batterie de Philae aurait dû être complètement déchargée vers 02h00 GMT (03h00 locales).",B2
"Mais, quand d'un passé ancien il ne reste rien, après la mort des êtres, après la destruction des choses, seul, plus fragile mais plus vif, plus immatériel, plus persistant, plus fidèle, l'odeur et la saveur subsistent longtemps. , comme les âmes, se souvenir, attendre, espérer, sur la ruine de tout le reste, porter sans hésiter, sur leur gouttelette presque impalpable, l'immense édifice de la mémoire.",C2
"Vous voyez, le rôle de l’école a changé.",A2
"L'année dernière, je suis allée sur les bords de Loire pour les vacances.",A2
Elle est grande !,A1
"Il y en a qui disent que c'est trop, mais pas moi.",B1
"Les sénateurs élus à la majorité, dont le siège devient vacant par décès, acceptation des fonctions de membre du Conseil constitutionnel ou de Défenseur des droits ou prolongation au-delà de la durée de six mois d'une mission temporaire confiée par le Gouvernement sont remplacés par les personnes élues. en même temps qu'eux à cet effet.",C2
"La naissance des États-nations, dont l’unité territoriale était étroitement liée à leur homogénéité linguistique, a également joué un rôle déterminant dans la consolidation des langues adoptées comme nationales, et la marginalisation des autres.",C1
"Selon Marx, les hommes qui font du travail une contrainte sont ceux qui produisent les objets du désir des hommes.",C2
"Je sais qu'elle est souvent seule à la maison, et qu'il rentre très tard le soir.",A2
"C'est pratique, je veux dire, au moment de la convalescence, on porte un masque, donc en général, ça ne se voit pas de toute façon.",B1
Le réalisateur m'a expliqué qu'il cherchait depuis longtemps l'acteur idéal.,B1
"Car sans incertitude nous serions cantonnés à une vie terne dont la fresque ne serait que teintée de nuances de gris, dans une absence totale de couleurs.",C2
"En 2003, les Français ont dépensé 30 milliards d'euros, au grand bénéfice de l'industrie du secteur et de l'Etat croupier, qui prélève sa dîme.",C2
"A l’inverse, les régions tempérées lointaines n’intéressaient guère les colonisateurs jusqu’à l’explosion démographique du Vieux Continent au XIXe siècle, lorsque les nouveaux pays devinrent des colonies européennes.",C2
"Ces enfants s'étaient procuré quelques petites clés, et quand la nuit était très noire, ils essayaient d'ouvrir les cadenas de ces chaînes qui attachent les bateaux à quelque grosse pierre ou arbre près du rivage.",C1
"Nous continuons à parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue maternelle",A2
"Paysans et seigneurs, des plaids sur les épaules, chantaient tous ensemble un chant de chasse ; puis apparut un capitaine qui invoquait l'ange du mal en levant ses deux bras au ciel ; un autre apparut ; ils sont partis et les chasseurs ont continué.",C2
L'ensemble comporte également un nombre réduit de pièces.,C1
C'est aussi une épreuve pour les couples nouvellement formés ou qui n'ont jamais vécu la vie ensemble.,B1
Je lui ai demandé ce que nous devions faire.,A2
Nous allons au restaurant.,A1
"Si vous ne mangez que des légumes, ce restaurant n'est pas pour vous !",B1
Tu es Français.,A1
"Il se vit pénétrer au cœur de la grande forêt et découvrir une femme endormie parmi les branches, allongée sur un lit de mousse.",B2
J'ai commencé ma journée en jouant du piano.,A2
"Si tu veux venir avec moi, je te montrerai ta table.",A2
"Il existe des outils pour le repérer, précisent les promoteurs de la méthode.",B2
"Le centre Anatole France est situé en centre-ville, à quelques pas de la mairie.",B1
"Il est intéressant de noter que jusqu'en 1995, le Festival de Deauville n'était pas compétitif",A2
Je rassemble tous ceux que j'aime pour célébrer l'arrivée de l'été.,A1
L'hôtel avait une belle piscine dont je n'ai pas eu le temps de profiter.,B1
"Une personne déçue est quelqu’un qui n’a pas obtenu ce qu’il attendait, ce qu’il espérait.",A2
"Certains, perchés sur le toit ou sur l'aile, refusaient de descendre.",C1
"Mais cette année, nous ne savons pas si nous pourrons y aller.",B1
"La parole d'Adnane était entièrement inoculée contre les paroles omniprésentes de la langue de bois de l'époque, comme s'il avait des oreilles passoires filtrant la parole des médias et des haut-parleurs plantés dans chaque quartier.",C2
Il porte aussi des lunettes rouges,A1
Ça me fait plaisir de manger de bonnes choses.,A2
Chaque hiver représente une nouvelle menace.,B2
"Il est agréable de s'y promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.",A1
"Un souffle de vent les dispersa, la pierre s'était de nouveau obscurcie, mais, comme apprivoisées, ils revinrent ; elle recommençait imperceptiblement à blanchir et par un de ces crescendos continus comme ceux qui, en musique, à la fin d'une ouverture, portent une seule note au fortissimo suprême en lui faisant passer rapidement par tous les degrés intermédiaires, je la vis atteindre cet or inaltérable et fixe des beaux jours, sur lequel se détachait en noir l'ombre coupée du support orné de la balustrade comme une végétation capricieuse, avec une ténuité dans le tracé des moindres détails qui semblait trahir une conscience appliquée, un satisfaction d'artiste, et avec un tel relief, un tel velours dans le reste de ses masses sombres et heureuses qu'en vérité ces reflets larges et feuillus qui se reposaient sur ce lac de soleil semblaient savoir qu'ils étaient des gages de calme et de bonheur.",C2
"Des réseaux nationaux, puis internationaux, se créent pour informer leurs membres, préparer des campagnes de sensibilisation, voire faire du lobbying.",C1
"On aurait dit qu'en soulignant leur ridicule, je trahissais une confiance qu'ils m'avaient faite ; on eût dit qu'en se montrant à moi tels qu'ils étaient, ils avaient obtenu de moi la promesse du silence : je n'avais pas conscience d'avoir accepté ce traité trop onéreux.",C2
Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé.,A2
"Nous achetons habituellement quinze pommes, ils les comptent et les mettent dans notre panier.",A2
"Les motos peuvent être classées en différents types, chaque type ayant des caractéristiques différentes telles que la maniabilité, le poids ou la position de conduite.",C1
"Cette fois, c'est vous qui caricaturez !",A2
"Sans son manteau et ses gants, ils seraient morts de froid.",B2
"D'après les ordres de Vienne, le général autrichien reçut le marquis del Dongo avec une considération proche du respect ; on s'empressa de lui offrir une des premières places du gouvernement, et il l'accepta comme le paiement d'une dette.",C1
"Selon les prévisions, 50 à 90 % des langues parlées aujourd’hui mourront au cours de ce siècle.",C1
Je vais à l'école pendant la journée. Le nom de mon père est Alain.,A1
"Car à la tentation soigneusement entretenue par les industriels du secteur, s'ajoute la fascination même du jeu, dont le pouvoir de séduction peut parfois nous faire perdre pied.",C2
Je vous embrasse.,A2
Il faisait encore très beau et surtout très chaud.,A2
"D'autres tolèrent moins bien cette promiscuité et « commencent déjà à voir les murs se refermer sur eux », note le quotidien américain, qui a recueilli le témoignage d'Hugo, 26 ans.",C1
Il prend le bus tous les soirs.,A2
"Après cette déclaration héroïque, la comtesse ne voulait plus des chevaux ni du box du comte N. Mais depuis quinze ans, elle était habituée à la vie la plus élégante : il lui fallait résoudre ce problème difficile, ou pour mieux dire impossible : vivre à Milan avec une pension de quinze cents francs.",C1
Les spectateurs étaient nombreux et tout le monde a apprécié le Festival.,A2
"Pour plus d'informations, vous pouvez venir consulter le médecin scolaire tous les jours au bureau 4B, au 4ème étage.",A2
"Il entendait dans toute cette vaste maison un bruit confus, ce bruissement des grands restaurants fait de bruits de vaisselle et d'argenterie qui s'entrechoquaient, du bruit des pas rapides des garçons adoucis par la moquette des couloirs, du bruit des les portes s'ouvrent un instant et laissent échapper le bruit des voix de toutes ces pièces étroites où sont confinés les gens qui dînent.",C2
Devenez une chèvre,C1
Certaines familles ont pour tradition de laisser des biscuits et un verre de lait près du sapin pour remercier le Père Noël.,B1
ne te fais pas tuer.,B1
"En 1913, moins d'un ouvrier sur trois, grâce aux dérogations, bénéficiait effectivement de ces vingt-quatre heures d'arrêt de travail.",C2
"Dans la tribu, on n'aime pas les enfants sans père, on dit que ce sont les enfants des mauvais esprits.",B1
"Même si je ne suis pas un fanatique de la restauration rapide, je ne vois pas pourquoi je ne mangerais pas de pizza et de hamburgers.",A2
Devant la maison il y a une petite cour.,A2
"Des nouvelles, des nouvelles, pendant que c'est le printemps, des nouvelles pendant que c'est le printemps - ""hiver""",C1
Un ami m'a écrit une lettre.,A1
"Puis, sortant mon mouton de sa poche, il se plongea dans la contemplation de son trésor.",B2
"C'est plein de raisons, d'accusations, de syllogismes, de calomnies, de mots qui vous rendront fou !",C2
"La prolifération de la culture sur brûlis a largement dégradé la forêt ivoirienne, tandis que le Gabon a davantage à craindre de l'ouverture de son couvert forestier à l'exploitation forestière industrielle.",B2
"Une fois tout terminé, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",A2
Cela doit être fait avec de l'eau.,B1
"Elle riait, marchait d'avant en arrière, sachant qu'elle était admirée, sentant que sa robe lui allait bien aux bons endroits.",C1
Y a-t-il une armoire ?,A1
"Pour dissuader ses lycéens d'étudier les beaux-arts, une école de cirque ou un diplôme d'arts du spectacle, un directeur avait l'habitude de leur raconter cette histoire.",C1
"En Amérique du Nord, LeeAnn Walters, une femme au foyer, a été reconnue pour avoir créé un mouvement populaire qui a révélé la crise de l'eau contaminée à Flint, dans le Michigan.",B1
"A l'occasion de la fête des mères, la tradition consiste le plus souvent à offrir un petit cadeau aux mamans, comme en France.",A2
Qui le pacha aide-t-il ?,A2
Illusion de laideur qui fait changer d'avis ! Illusion de la vérité jamais immuable !,B2
Elle met son chapeau et se rend à l'épicerie du coin.,A2
"La lumière tombait si implacablement du ciel devenu figé qu'on aurait voulu échapper à son attention, et l'eau calme elle-même, dont les insectes irritaient perpétuellement le sommeil, rêvant sans doute à quelque Maelström imaginaire, augmentait le trouble dans lequel j'étais. jeta la vue du flotteur en liège, semblant le traîner à toute vitesse à travers les étendues silencieuses du ciel réfléchi ; presque verticale elle semblait prête à plonger et déjà je me demandais si, sans tenir compte de l'envie et de la peur que j'avais de la connaître, je n'avais pas le devoir de prévenir Miss Swann que le poisson mordait - alors que je devais courir rejoindre mon père et mon grand-père qui m'appelaient, surpris que je ne les ai pas suivis sur le petit chemin qui monte vers les champs et d'où ils étaient partis.",C2
"Heureusement, par pure modestie, il n'avait pas évoqué les diamants offerts par sa mère.",B2
"Il accepte les différences, il est tolérant.",B1
L’influence du microbiote sur nos comportements a été observée.,C1
La formation se terminera par un contrôle pour voir si le propriétaire a intégré les connaissances.,B2
Le robot a réussi à lancer une foreuse de dernière minute même si on ne sait pas encore s'il a pu rapporter un échantillon de la surface de la comète.,B1
Les enfants ont chanté les chansons qu'ils avaient apprises de leur professeur,C2
"Clairement, les adolescentes souffrent d'un complexe d'infériorité par rapport à leurs homologues masculins, comme le montre ce sociologue de l'éducation dans un ouvrage de référence, L'Ecole des Filles (L'Harmattan).",C1
"Quand j'écoute ma musique, je dois l'apprécier et c'est pour ça que je suis exigeant, je pense",A2
"Une exposition de soies, satins et velours épanouissent, dans une gamme souple et vibrante, les tons les plus délicats des fleurs : en haut, les velours, un noir profond, le blanc du lait caillé ; plus bas, les satins, les roses, les bleus, avec leurs cassures vives, se fondant dans des pâleurs d'une infinie tendresse ; plus bas encore, les soieries, toute l'écharpe de l'arc-en-ciel, des morceaux enroulés en coquilles, plissés comme autour d'une taille qui se cambrait, s'animant sous les doigts savants des clercs ; et, entre chaque motif, entre chaque phrase colorée affichée, courait un accompagnement discret, un léger cordon bouillonnant d'écharpe crème.",C2
"La société me dérange, la solitude m'accable.",C2
Nous voulons surmonter les obstacles juridiques et techniques qui nous empêchent d'intercepter les conversations téléphoniques Skype entre suspects.,C1
Ma mère est allemande et est avocate,A1
"Edgar, pétillant de fureur, dominait tous les autres de sa voix plus claire.",C1
"Il avait toujours accédé, parfois anticipé, à mes demandes à cet égard.",C1
"C'est génial, j'ai tout vu avant toi !",A2
"Heureusement pour lui, les larmes qui obscurcissaient les yeux de Laurence reflétaient sa joie, tout comme son sourire radieux.",B2
"Si Dieu le veut, Bonjour Anne !",A1
C'est un parc où l'on vient se promener en famille et entre amis,B1
"Dans une grande salle au design épuré, ils sont une cinquantaine d'étudiants âgés de 18 à 34 ans, les yeux rivés sur leur écran d'ordinateur.",B2
Je suis venu dès que j'ai appris la nouvelle.,A2
« Comment vouloir demander une analyse grammaticale ou parler du pronom relatif à un enfant qui n'utilise que des propositions juxtaposées ?,C2
"Quand on est adolescent, on se pose beaucoup de questions.",A2
Il ouvre un gîte pour randonneurs en Haute-Savoie.,C1
"A 50-55 ans commence la deuxième vie d'adulte, à laquelle il faudra donner un nom, un statut, un contenu.",C1
Demain nous nous lèverons tôt et marcherons dans les bois autour du manoir.,B1
"Nous devrions d’abord lui faire visiter les chambres, la salle à manger et le reste.",B1
J'espère que vous avez apprécié cette nouvelle histoire.,A2
"Selon des témoignages de chefs d'entreprise recueillis dans le Guide France Info Le salarié handicapé dans l'entreprise, ce dernier est un salarié comme les autres, avec en prime l'envie de s'en sortir.",B1
"Doté de 410 millions de dollars, il servira à financer l'adaptation des pays du Sud et le développement des énergies propres.",C1
j'ai faim,A1
On m’a souvent demandé comment j’avais réussi à comprendre Coluche et ce que je retenais de ce tournage.,B1
"On reconnaît alors qu’elle recouvre de multiples analyses, acteurs, récits et pratiques aux finalités complémentaires ou différentes, voire antagonistes.",C1
"Je me donnai bientôt, par cette conduite, une grande réputation de légèreté, de persiflage et de méchanceté.",C2
"Ma voiture est très écologique, elle fonctionne à l'énergie solaire",B1
"Stop : tout d’abord, sachez que les vrais nouveaux pères n’ont aucune envie de s’appeler ainsi.",B2
"Ensuite je me battrais avec Daffy, mon canard en peluche, je mâcherais mon os qui grince ou je chanterais à l'unisson avec la radio du voisin",C1
"Le nombre insuffisant d’enseignants formés constitue également un frein pour de nombreux opposants à cette mesure, qui la jugent inapplicable.",C2
"Comme toujours, l’histoire peut fournir des leçons intéressantes.",B2
Bien !,A1
Voir tout!,A1
Les sœurs de Fabrice entrèrent dans la maison de leur mère pendant que la comtesse cousait ces diamants dans l'habit de voyage de notre héros ; il a rendu à ces pauvres femmes leurs chétifs napoléons.,B2
Cet accusé se serait défendu avec l'énergie du condamné.,B2
"Comme Monsieur, informaticien et fondateur de la librairie de mathématiques, pour qui ""il y a tellement de façons d'aimer les mathématiques [qu'il propose] de nombreux produits plus ou moins littéraires, plus ou moins ludiques"".",C2
Quelle est ta ville natale ?,A1
Le 8 mai est le Jour de la Victoire,A2
"En remontant le temps, on constate que le déclin de la diversité linguistique a été considérablement accéléré par les conquêtes coloniales européennes qui ont éliminé au moins 15 % des langues parlées à l'époque.",C1
"L'extension après 1945 du principe méritocratique à toutes les carrières supérieures administratives et économiques, avec l'École nationale d'administration et le développement des écoles de commerce, conduit à la mise en place dans les années 1960 du système des grandes écoles. tel qu'il existe encore aujourd'hui.",C2
"C'est ce qu'a appris Hervé Brassier, qui a pu parler des heures durant de son chien-guide, Indigo : Ce chien m'apporte beaucoup de bonheur.",B1
"Delphine, je t'attends au coin de la rue, devant la pharmacie",A1
"Par exemple, pour gagner dix pas de terrain sur le lac, près de la fameuse allée des platanes, à côté de la Cadenabia, il fit construire une digue au coût de quatre-vingt mille francs.",C1
Il s'est ensuite étendu à d'autres établissements,B1
"Cela faisait longtemps que je n'avais pas bu une bière comme celle-là, ne vous inquiétez pas.",A2
"Son espace virtuel, unique en son genre, fête ses deux ans d'existence, et propose une belle collection d'alternatives au carnet de vacances.",C2
Je mange à la cafétéria.,A1
"Le comte avait refusé de prendre du service en Autriche ; ce refus fut affirmé et, quelques mois après la mort de Prina, ceux-là mêmes qui avaient payé les assassins obtinrent que le général Pietranera soit jeté en prison.",C1
Les troupes armées étrangères sont parfois invitées à défiler aux côtés des armées françaises,B2
Les maladies inflammatoires chroniques de l’intestin font partie des priorités de santé publique en gastro-entérologie.,C1
L’autre élément est que certains enseignants développent un usage pédagogique des outils numériques.,B2
Votre lycée français organise chaque année une journée où les familles peuvent venir observer les cours.,B2
"Malgré les réticences du gouvernement italien, le gouvernement américain, pour sa part, a exprimé son intérêt à connaître les démarches entreprises par les enquêteurs des 27 pays membres de l'Union européenne.",C1
"Mangez avec brio, car ce soir nous dînerons en enfer !",B2
"Cet indice, basé sur la formule Herfindahl‐Hirschmann utilisée dans le domaine économique comme mesure de la concentration du marché, représente dans notre cas le degré de fragmentation, ou inversement, de consolidation, de la structure institutionnelle des cantons.",C2
Je réalise que c'est une comédie.,B1
"Ellénore n'avait jusqu'alors aucune idée de ce sentiment passionné, de cette existence perdue dans la sienne, dont ma fureur même, mes injustices et mes reproches n'étaient que des preuves plus irréfutables.",C1
"Ces derniers auraient produit des rats mithridatisés, pathologiquement agressifs, dotés d'une force de mâchoire redoutable.",C2
Je ne trouve pas les livres que j'ai pris à la bibliothèque.,A2
"Une cruche d'eau, s'il vous plaît.",A1
"Certains détestent pourtant ce décalage dans leur emploi du temps, ce vide, ce temps mort.",C2
C'est un plaisir de vous rencontrer.,A1
"Sans jamais préciser d'où il s'approvisionne en journal, Kassák dessine, prend des notes et surtout écrit des poèmes qu'il envoie aux rédactions des journaux via un ami resté à Budapest.",C2
"Mais d’autres n’étaient pas d’accord : son accent est si fort que l’auditeur oubliera ce qu’il dit, la politique est un sujet trop sérieux pour être confié à une intonation aussi chantante, etc.",B1
Ou ce qu'elle préfère : je lui lis des histoires.,A2
Le thé est trop chaud pour être bu.,A1
Cette épée brûlante rongeait mes cils et fouillait mes yeux douloureux.,C2
"Le conducteur, appelé cyclomoteur, motard ou motocycliste, est assis à califourchon sur la selle, ses mains tiennent le guidon et ses pieds sont sur des repose-pieds.",C2
"aucun chemin n'était praticable, il y avait tellement d'arbres couchés partout",C1
"Oui merci, c'est sympa !",A2
"Il s'intègre alors dans un autre réseau, tissé au fur et à mesure du voyage : celui des vagabonds, fait de routes, d'asiles et de rencontres.",C2
J'ai 25 ans.,A1
Je m'appelle Marie.,A1
"Rosa : Oui, merci ! Dis-moi, y a-t-il un concert ce soir ?",A2
"L'une de ses dernières initiatives a été la création du festival Best of Doc, dont la première édition a eu lieu en novembre 2019.",C1
"Bonjour, c'est mon dernier jour dans cette école.",A1
"Les concierges, en manches de chemise, à califourchon sur des chaises de paille, fumaient la pipe sous les portières, et les passants marchaient d'un pas abattu, le front nu, le chapeau à la main.",C2
"Lorsqu'elles s'approchent trop de la tribu, les femmes leur jettent des pierres et les hommes les chassent.",B1
L’éducation est censée préparer la jeune génération à l’avenir.,B2
La nouvelle majorité municipale vient de décider de réduire de 500 000 euros la subvention annuelle allouée à l'Opéra de Lyon.,C1
Je vais aller chercher du pain à la boulangerie pour le petit-déjeuner.,A2
"Enfin, n'oubliez pas le maquillage",B1
"À mesure que l’illumination augmente, l’esprit humain semble s’étendre et les frontières s’élargir.",C2
J'aime grimper.,A1
Elle a fait plusieurs nominations pour le directeur,B1
Mon fils est né ce matin.,A1
"Il explora tout le rez-de-chaussée et découvrit un appentis, ou plutôt un petit hangar encombré de vieilles caisses et de deux fourgons accidentés.",C1
"Il a décrit sa patrie comme une péninsule sèche et presque aride, bien que parsemée d'oliviers ; mais bien qu'elle fût - il l'avouait lui-même - moins gaie et moins fertile que la campagne à l'ombre de la forêt, il en parla avec tant d'amour que le jeune prince y resta sous le charme. 'écoute.",B2
