id,sentence,difficulty
2532,"Des réseaux nationaux, puis internationaux, se sont créés pour fournir des informations à leurs membres, préparer des campagnes de sensibilisation, voire faire du lobbying.",C1
2533,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
2534,Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé.,A2
2535,"Nous avons l'habitude d'acheter quinze pommes, ce sont elles qui les comptent et les mettent dans notre panier.",A2
2536,"Les motocyclettes peuvent se classer en différents types, chaque type ayant des caractéristiques différentes telles que la maniabilité, le poids ou la position de pilotage.",C1
2537,"Cette fois, c'est vous qui caricaturez !",A2
2538,"Sans son manteau et ses gants, ils seraient morts de froid.",B2
2539,"D'après des ordres venus de Vienne, le général autrichien reçut le marquis del Dongo avec une considération voisine du respect ; on se hâta de lui offrir une des premières places dans le gouvernement, et il l'accepta comme le paiement d'une dette.",C1
2540,"Selon les pronostics, de 50 à 90 % des langues parlées aujourd'hui mourront au cours de ce siècle.",C1
2541,Je vais à l'école pendant la journée. Mon père s'appelle Alain.,A1
2542,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
2543,Je t'embrasse.,A2
2544,Il faisait toujours très beau et surtout très chaud,A2
2545,"D'autres supportent moins bien cette promiscuité et ""commencent déjà à voir les murs se refermer sur eux"", note le quotidien américain, qui a recueilli le témoignage d'Hugo, 26 ans.",C1
2546,Il prend le bus tous les soirs.,A2
2547,Après cette déclaration héroïque la comtesse ne voulut plus des chevaux ni de la loge du comte N. Mais depuis quinze ans elle était accoutumée à la vie la plus élégante : elle eut à résoudre ce problème difficile ou pour mieux dire impossible : vivre à Milan avec une pension de quinze cents francs.,C1
2548,Il y a eu beaucoup de spectateurs et tout le monde a bien aimé la Fête.,A2
2549,"Pour avoir plus d'informations, tu peux venir voir le médecin de l'école tous les jours au bureau 4B, au 4e étage.",A2
2550,"Il entendait dans toute cette vaste maison une rumeur confuse, ce bruissement des grands restaurants fait du bruit des vaisselles et des argenteries heurtées, du bruit des pas rapides des garçons adouci par le tapis des corridors, du bruit des portes un moment ouvertes et qui laissent 147 échapper le son des voix de tous ces étroits salons où sont enfermés des gens qui dînent.",C2
2551,Devenir chêvre,C1
2552,Certaines familles ont pour tradition de déposer des biscuits et un verre de lait près du sapin pour remercier le père noël.,B1
2553,ne te fais pas tuer.,B1
2554,"En 1913, moins de 1 travailleur sur 3, dérogations obligent, bénéficie réellement de ces vingt-quatre heures chômées.",C2
2555,"Dans la tribu, on n'aime pas les enfants sans père, on dit que ce sont les enfants des mauvais esprits.",B1
2556,"Même si je ne suis pas fanatique de fast-food, je ne vois pas pourquoi je ne mangerais pas de pizza et de hamburgers.",A2
2557,"Devant la maison, il y a une cour minuscule.",A2
2558,"Faits divers, faits divers, alors qu'on est au printemps, faits divers alors qu'on est au printemps - ""d'hiver""",C1
2559,Un ami m'a écrit une lettre.,A1
2560,"Puis, sortant mon mouton de sa poche, il se plongea dans la contemplation de son trésor.",B2
2561,"Ça vous débagoule des raisons, des accusations, des syllogismes, des calomnies, des paroles à rendre fou !",C2
2562,La prolifération de la culture sur brûlis a largement dégradé la forêt ivoirienne alors que le Gabon a plus à craindre de l'ouverture de son couvert forestier à l'exploitation industrielle du bois.,B2
2563,"Une fois qu'il a tout fini, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",A2
2564,Elle doit être faite avec de l'eau.,B1
2565,"Elle rit, alla et vint, se sachant admirée, sentant que sa robe plaquait bien aux endroits nécessaires.",C1
2566,Il y a une armoire ?,A1
2567,"Pour dissuader ses lycéens de faire les Beaux-arts, l'École du cirque ou un diplôme d'arts du spectacle, un proviseur avait coutume de leur raconter cette histoire.",C1
2568,"En Amérique du Nord, LeeAnn Walters, une femme au foyer, a été distinguée pour avoir créé un mouvement citoyen qui a permis de révéler la crise de l'eau contaminée de Flint dans le Michigan",B1
2569,"Le jour de la Fête des mères, la tradition consiste le plus souvent à offrir un petit cadeau aux mamans, comme en France.",A2
2570,A qui le pacha vient en aide ?,A2
2571,Illusion du laid qui est une opinion changeante! Illusion du vrai jamais immuable!,B2
2572,Elle met son chapeau et elle va à l'épicerie de quartier.,A2
2573,"La lumière tombait si implacable du ciel devenu fixe que l'on aurait voulu se soustraire à son attention, et l'eau dormante ellemême, dont des insectes irritaient perpétuellement le sommeil, rêvant sans doute de quelque Maelstrôm imaginaire, augmentait le trouble où m'avait jeté la vue du flotteur de liège en semblant l'entraîner à toute vitesse sur les étendues silencieuses du ciel reflété ; presque vertical il paraissait prêt à plonger et déjà je me demandais, si, sans tenir compte du désir et de la crainte que j'avais de la connaître, je n'avais pas le devoir de faire prévenir Mlle Swann que le poisson mordait - quand il me fallut rejoindre en courant mon père et mon grand-père qui m'appelaient, étonnés que je ne les eusse pas suivis dans le petit chemin qui monte vers les champs et où ils s'étaient engagés.",C2
2574,"Heureusement, par pure modestie, il n'avait pas parlé des diamants donnés par sa mère.",B2
2575,"Il accepte les différences, il est tolérant.",B1
2576,L'influence du microbiote sur notre comportement a pu être observée.,C1
2577,La formation s'achèvera par un contrôle pour savoir si le propriétaire a intégré les connaissances.,B2
2578,Le robot a réussi à lancer un forage de dernière minute même si on ne sait pas encore s'il a pu ramener un échantillon de la surface de la comète.,B1
2579,Les enfants chantèrent les chansons qu'ils eurent apprises de leur professeur,C2
2580,"En clair, les adolescentes souffrent d'un complexe d'infériorité par rapport à leurs comparses masculins, comme l'a montré cette sociologue de l'éducation dans un ouvrage de référence, L'Ecole des filles (L'Harmattan).",C1
2581,"Quand j'écoute ma musique, il faut que je l'apprécie et c'est pour ça que je suis exigeant, je crois",A2
2582,"Une exposition de soies, de satins et de velours, y épanouissait, dans une gamme souple et vibrante, les tons les plus délicats des fleurs : au sommet, les velours, d'un noir profond, d'un blanc de lait caillé ; plus bas, les satins, les roses, les bleus, aux cassures vives, se décolorant en pâleurs d'une tendresse infinie ; plus bas encore, les soies, toute l'écharpe de l'arc-en-ciel, des pièces retroussées en coques, plissées comme autour d'une taille qui se cambre, devenues vivantes sous les doigts savants des commis ; et, entre chaque motif, entre chaque phrase colorée de l'étalage, courait un accompagnement discret, un léger cordon bouillonné de foulard crème.",C2
2583,"La société m'importune, la solitude m'accable.",C2
2584,Nous voulons surmonter les obstacles judiciaires et techniques qui nous empêchent d'intercepter les conversations téléphoniques par Skype entre les suspects.,C1
2585,Ma mère est allemande et est avocate,A1
2586,"Edgar, étincelant de furie, dominait tous les autres de sa voix plus claire.",C1
2587,"Il avait toujours accordé, quelquefois prévenu mes demandes à cet égard.",C1
2588,"C'est génial, j'ai tout vu avant vous !",A2
2589,"Heureusement pour lui, les larmes qui embuaient les yeux de Laurence reflétaient sa joie, tout comme son sourire radieux",B2
2590,"Si Dieu le veut Bonjour, Anne!",A1
2591,C'est un parc où les gens viennent se promener en famille et entre amis,B1
2592,"Dans une grande salle au design épuré, ils sont une cinquantaine d'étudiants de 18 à 34 ans, les yeux rivés sur leur écran d'ordinateur.",B2
2593,Je suis venu dès que j'ai appris la nouvelle.,A2
2594,"""Comment voulez-vous demander une analyse grammaticale ou parler du pronom relatif à un enfant qui n'emploie que des propositions juxtaposées ?""",C2
2595,"Quand on est ado, on se pose des tas de questions.",A2
2596,Il a ouvert un gîte de randonneurs en Haute-Savoie.,C1
2597,"A 50-55 ans débute la deuxième vie adulte, à laquelle il faudra donner un nom, un statut, un contenu.",C1
2598,"Demain, nous nous lèverons tôt et nous nous promènerons dans la les bois situés aux alentours du manoir.",B1
2599,"Il faudrait d'abord lui faire visiter un peu les chambres, la salle de restaurant, et le reste.",B1
2600,J'espère que cette nouvelle histoire vous a plu.,A2
2601,"D'après des témoignages de chefs d'entreprise recueillis dans le Guide France Info Le salarié handicapé dans l'entreprise, ce dernier est un salarié comme les autres, avec en plus, la volonté de s'en sortir .",B1
2602,"Doté de 410 millions de dollars, il servira à financer l'adaptation des pays du Sud et le développement d'énergies propres.",C1
2603,J'ai faim,A1
2604,"On m'a souvent demandé comment j'avais fait pour comprendre Coluche, et ce que je gardais comme souvenir de ce tournage.",B1
2605,"On reconnaît alors qu'il recouvre des analyses, des acteurs, des histoires et des pratiques multiples aux finalités complémentaires ou différentes, voire antagonistes.",C1
2606,"Je me donnai bientôt, par cette conduite, une grande réputation de légèreté, de persiflage, de méchanceté.",C2
2607,"Ma voiture est très écologique, elle roule à l'énergie solaire",B1
2608,"Stop : tout d'abord, figurez-vous que les vrais nouveaux pères n'ont aucune envie d'être appelés comme cela.",B2
2609,"Puis je me bagarrais avec Daffy, mon canard en peluche, je mâchouillais mon os qui couine ou je chantais à l'unisson avec la radio de la voisine",C1
2610,"Le nombre insuffisant de professeurs formés est également un frein pour beaucoup d'adversaires de cette mesure, qui la jugent inapplicable.",C2
2611,"Comme toujours, l'histoire peut apporter des enseignements intéressants.",B2
2612,Très bien !,A1
2613,Va-t'en !,A1
2614,Les soeurs de Fabrice entrèrent chez leur mère tandis que comtesse cousait ces diamants dans l'habit de voyage de notre héros ; il rendait à ces pauvres femmes leurs chétifs napoléons.,B2
2615,Cet accusé se serait défendu avec l'énergie du condamné.,B2
2616,"Comme Monsieur, un informaticien fondateur de la librairie des maths, pour qui ""il y a tellement de manières d'aimer les mathématiques [qu'il propose] de nombreux produits plus ou moins littéraires, plus ou moins ludiques"".",C2
2617,Quelle est votre ville d'origine ?,A1
2618,Le 8 mai est la fête de la Victoire,A2
2619,"En remontant dans le temps, on s'aperçoit que le déclin de la diversité linguistique a été considérablement accéléré par les conquêtes colonialistes européennes qui ont éliminé au moins 15 % des langues parlées à l'époque.",C1
2620,"L'extension après 1945 du principe méritocratique à l'ensemble des carrières administratives et économiques supérieures, avec l'École nationale d'administration et le développement des écoles de commerce, aboutit à la mise en place dans les années 1960 du système des grandes écoles tel qu'il existe encore aujourd'hui.",C2
2621,"C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo : Ce chien m'apporte beaucoup de bonheur.",B1
2622,"Delphine, je t'attends au coin de la rue, devant la pharmacie",A1
2623,"Par exemple, pour gagner dix pas de terrain sur le lac, près de la fameuse allée de platanes, à côté de la Cadenabia, il faisait construire une digue dont le devis allait à quatre-vingt mille francs.",C1
2624,Elle s'est ensuite élargie à d'autres établissements,B1
2625,"Ça faisait longtemps que je ne m'étais pas bu une petite bière comme ça, tranquillou.",A2
2626,"Son espace virtuel, unique en son genre, fête ses deux ans d'existence, et propose une belle collection d'alternatives au cahier de vacances",C2
2627,Je mange à la cantine.,A1
2628,"Le comte avait refusé de prendre du service en Autriche ; on fit valoir ce refus, et, quelques mois après la mort de Prina, les mêmes personnages qui avaient payé les assassins obtinrent que le général Pietranera serait jeté en prison.",C1
2629,Des troupes armées étrangères sont parfois invitées à défiler aux côtés des armées françaises,B2
2630,Les maladies inflammatoires chroniques de l'intestin font parties des priorités de santé publique en gastroentérologie.,C1
2631,L'autre élément est que certains enseignants développent un usage pédagogique des outils numériques.,B2
2632,Votre lycée français organise chaque année une journée où les familles peuvent venir observer des cours.,B2
2633,"Malgré la réticence du gouvernement italien, le gouvernement des États-Unis aurait de son côté manifesté son intérêt à connaître les démarches entreprises par les enquêteurs des 27 pays membres de l'Union européenne.",C1
2634,"Mangez avec appétit, car ce soir, nous dînerons en enfer !",B2
2635,"Cet indice, basé sur la formule de Herfindahl‐Hirschmann utilisée dans le domaine de l'économie comme mesure de la concentration du marché, représente dans notre cas le degré de fragmentation, ou vice‐versa de consolidation, de la structure institutionnelle des cantons.",C2
2636,Je me rends compte que c'est une comédie.,B1
2637,"Ellénore n'avait eu jusqu'alors aucune notion de ce sentiment passionné, de cette existence perdue dans la sienne, dont mes fureurs mêmes, mes injustices et mes reproches n'étaient que des preuves plus irréfragables.",C1
2638,"Ces derniers auraient engendré des rats mithridatisés, pathologiquement agressifs, dotés d'une formidable force de mâchoire.",C2
2639,Je ne trouve pas les livres que j'ai pris à la bibliothèque.,A2
2640,"Une carafe d'eau, s'il vous plaît.",A1
2641,"Certains, pourtant, haïssent cette béance dans leur agenda, ce vide, ce temps mort.",C2
2642,C'est un plaisir de faire votre connaissance.,A1
2643,"Sans jamais préciser comment il s'approvisionne en papier, Kassák dessine, prend des notes et surtout écrit des poèmes qu'il envoie aux rédactions de journaux via une amie restée à Budapest.",C2
2644,"Mais d'autres n'étaient pas d'accord : Son accent est tellement fort que l'auditeur va oublier ce qu'il dit , La politique est un sujet trop sérieux pour être confié à une intonation aussi chantante , etc.",B1
2645,"Ou encore, ce qu'elle préfère : je lui lis des histoires.",A2
2646,Le thé est trop chaud pour le boire.,A1
2647,Cette épée brûlante rongeait mes cils et fouillait mes yeux douloureux.,C2
2648,"Le conducteur, appelé cyclomotoriste, motard ou motocycliste, y est assis à califourchon sur la selle, les mains tiennent le guidon et les pieds sont sur des repose-pieds.",C2
2649,"aucune allée n'était praticable, tellement il y avait des arbres couchés partout",C1
2650,"Oui, merci, c'est gentil !",A2
2651,"Il s'insère ensuite dans un autre réseau, tissé au fur et à mesure du voyage : celui des vagabonds, fait de routes, d'asiles et de rencontres.",C2
2652,J'ai 25 ans.,A1
2653,Je m'appelle Marie.,A1
2654,"Rosa : Oui, merci ! Dites-moi, il y a un concert ce soir ?",A2
2655,"L'une de ses dernières initiatives a été la création du festival Best of Doc, dont la première édition avait eu lieu en novembre 2019.",C1
2656,"Bonjour, c'est mon dernier jour dans cette école.",A1
2657,"Les concierges, en manches de chemise, à cheval sur des chaises en paille, fumaient la pipe sous des portes cochères, et les passants allaient d'un pas accablé, le front nu, le chapeau à la main.",C2
2658,"Quand ils s'approchent trop près de la tribu, les femmes leur jettent des pierres et les hommes les chassent.",B1
2659,L'éducation est censée préparer la jeune génération à l'avenir.,B2
2660,La nouvelle majorité municipale vient de décider de baisser de 500 000 euros la subvention annuelle allouée à l'Opéra de Lyon.,C1
2661,Je vais aller prendre du pain à la boulangerie pour le petit-dejeuner.,A2
2662,"Pour terminer, n'oubliez pas le maquillage",B1
2663,"À mesure que les lumières s'accroissent, l'esprit humain semble s'agrandir et les limites se reculent.",C2
2664,J'aime bien faire de l'escalade.,A1
2665,Elle a pris plusieurs rendez-vous pour le directeur,B1
2666,Mon fils est né ce matin.,A1
2667,"Il explora tout le rez-de-chaussée et découvrit un appentis, ou plutôt un petit hangar encombré de vieilles caisses et de deux carcasses de camionnettes.",C1
2668,"Il décrivait sa patrie comme une presqu'île desséchée et presque aride, semée pourtant d'oliviers ; mais bien qu'elle fût - il l'avouait lui-même - moins riante et moins fertile que le pays à l'ombre de la forêt, il en parlait avec tant d'amour, que le jeune prince demeurait sous le charme en l'écoutant.",B2
2669,"Après lui avoir fait faire une bonne lieue, à pied, dans l'obscurité rendue plus profonde en apparence par le feu des bivouacs qui de toutes parts éclairaient l'horizon, l'adjudant remit Fabrice à un officier de gendarmerie qui, d'un air grave, lui demanda ses papiers.",C1
2670,Vous étudiiez sérieusement et vous réussissiez sans le moindre effort de votre part.,B1
2671,Tu es très sympa.,A1
2672,"Le département a versé une aide financière à tous les lycéens ayant obtenu leur diplôme du baccalauréat avec mention ""très bien"".",B2
2673,La compétence fiscale des communes est réduite car elle dépend du droit cantonal.,B2
2674,"Enfin, au Moyen-Orient, la Fête des mères a lieu le premier jour du printemps, soit le 21 mars.",B2
2675,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
2676,"Il reste au lit un quart d'heure dans le noir avant de se lever, pour faire durer la nuit.",A2
2677,"Or, aujourd'hui, c'est un défi massif lancé à notre pays.",B2
2678,"On est toujours sur des Zoom meetings, enfin moi, j'ai jamais l'occasion de regarder mon visage quand il est concentré",B1
2679,Les importateurs s'engagent aussi à verser un acompte et à privilégier des relations commerciales durables avec les producteurs.,C1
2680,De quoi le prince ne se lasse pas ?,B1
2681,Tu as pris une douche et tu es allée au lit.,A2
2682,"Bref, la démocratie a les tempes blanchies.",B2
2683,"Si tu pars en vacances avec nous, je serais ravie.",B1
2684,Où irons-nous en vacances l'année prochaine ?,A1
2685,"C'est une chance pour lui, il va gagner un peu plus d'argent.",B1
2686,Un secrétaire va être embauché par le directeur,B1
2687,"En conduisant un véhicule, vous ne pouvez pas téléphoner.",B1
2688,"Merci, c'est gentil.",A1
2689,Il a pris son parapluie et il est sorti.,A2
2690,On peut sortir tous les jours dans les bars ou en boîte,A1
2691,"Et grâce à ces nouvelles résolutions encourageantes, je dors bien mieux maintenant !",B1
2692,Ils fonderaient ainsi une race de mortels qui feraient renaître sur la terre la grâce des dieux exilés.,B2
2693,L'artiste peignit un paysage qu'il eut vu,C2
2694,"Le robot Philae s'assoupit sur la comète ""Tchouri"", après une mission historique qui a tenu en haleine et permis de récolter des données qui pourraient aider à comprendre les origines de la vie sur Terre.",B2
2695,"Plus d'un s'imposait un quart volontaire dans les barres de perroquet, qui eût maudit une telle corvée en toute autre circonstance.",C1
2696,je fais attention.,A1
2697,"En fin de scolarité, les garçons ont de meilleurs résultats aux exercices faisant appel à la réflexion.",B2
2698,"Dzinkowski, (Dzinkowski, 2000), certaines études estiment que 50 à 90% de la valeur créée par les entreprises provient de l'exploitation de leurs actifs intellectuels",C2
2699,Il vit un grand nombre de serpents qui en arrivant près d'un certain rocher le touchaient d'une herbe qu'ils tenaient à la bouche.,B1
2700,Pouvez-vous nous donner un peu plus de détails ?,A2
2701,Tu bois du vin.,A1
2702,"Les jambes sont visiblement instituées pour être chaussées, et nous avons des chaussures.",B2
2703,Elle est marquée par une reprise de la polémique sur les Centres d'Aide par le Travail.,B1
2704,"Avant, je me disais que ma vie était une tragédie.",B1
2705,Donc on modifie complètement la psychologie de l'élève au sein même du groupe classe.,C1
2706,Une terreur mêlée d'affection se peignit sur sa figure.,C2
2707,"Quand Arthur rentrait enfin, je lui faisais la fête en sautant dans tous les sens, et il me sortions pour notre promenade au parc, caressait derrière les oreilles en ria Ensuite, nous où nous retrouvions quelques amis",C1
2708,J'étais obligé d'ouvrir la fenêtre pour respirer ; mon sang me brûlait en circulant dans mes veines.,C2
2709,Ces molécules organiques pouvaient être récoltées grâce à l'échantillon au sol (qui devait ensuite être réchauffé avant de pouvoir être analysé) mais pas seulement.,B2
2710,"L'ambitieux a les dents longues mais pour réussir, les ambitieux doivent être prudents et persévérants sinon ils peuvent se casser les dents.",B2
2711,Avez-vous des déclarations à faire à ce sujet,A2
2712,"Non, ne sors pas jouer sans protection !",A2
2713,"Au village, il y a les pour et les contre. Mais les enthousiastes sont les plus nombreux.",A2
2714,J'ai eu un week-end un peu spécial.,A1
2715,Je vais partir.,A1
2716,"Quand on est petit, on apprend à marcher dès huit mois.",A2
2717,"En deuxième position, les Français font figurer les bonnes manières, puis le sens des responsabilités.",B2
2718,"Pour presque chaque pays, on peut en gros dessiner le schéma suivant: la cour est normalement le centre du goût, des manières et des idées venues de France et certaines de ces attitudes sont imitées par les solliciteurs qui gravitent autour de l'aristocratie et le haut personnel domestique.",C2
2719,Et fringants.,B2
2720,"Le quartier est tranquille et agréable, et pas trop loin de l'Université",A1
2721,Et comment le conservatoire finance-t-il la protection du littoral et l'accueil du public ?,C1
2722,L'indicateur n'était que de 40% chez les femmes en 2009.,A2
2723,"On annonça qu'on avait servi ; j'offris à Ellénore mon bras, qu'elle ne put refuser.",C1
2724,"Forcée à admettre que je ne manifestais aucune disposition spéciale, ni talent caché, ma mère finit par conclure, comme tant d'autres mères avant elle, qu'il ne me restait plus qu'une solution: la diplomatie.",C2
2725,Le monde se divise en deux catégories: ceux qui ont un pistolet chargé et ceux qui creusent.,B2
2726,"D'ailleurs, le souvenir du roman facilitant l'intelligence du libretto, elle suivait l'intrigue phrase à phrase, tandis que d'insaisissables pensées qui lui revenaient, se dispersaient, aussitôt, sous les rafales de la musique.",C2
2727,"Celui qui, à 65 ans, apprécie toujours autant ses visites dans les classes, estime que les parents ont parfois trop négligé des choses très simples",C2
2728,"Il avait marché brûlant, imprudent et damné, ses paupières frémissant sur ses épaisses prunelles, noires de la douleur d'une participation qui devait, quatre siècles plus tard, faire de lui une victime lorsqu'il sentit dans sa propre gorge l'écho du cri qui avait couru jadis sur la Piazza Montanara : ""Roba Vecchia !"" - la dégradation au prix de laquelle les siens avaient survécu.",C2
2729,"Conscient de sa popularité assez faible, il renonce par la suite à briguer un nouveau mandat présidentiel",C1
2730,"Dans les thérapies cognitives et comportementales (TCC) destinées aux addictions, on apprend à utiliser des stratégies pour résister aux envies irrépressibles.",C2
2731,Les activités ne manquent pas !,A1
2732,"Tous les lundis, c'est la même chose",A1
2733,"""On s'est alors dit que le terrain commençait à être favorable pour l'informatique"", raconte David Wilgenbus.",B1
2734,"De plus, les agences nationales réglementaires de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.",B2
2735,Vous regardez la télévision.,A1
2736,"Cette communauté arctique d'une centaine d'âmes, isolée sur une île de la mer de Beaufort, a répertorié les changements observés depuis le début des années 90 : hivers moins rigoureux, hausse du niveau de la mer, formation de la glace plus tard dans la saison et dégel avancé, fonte du permafrost, arrivée de nouvelles espèces animales (rouges-gorges, saumons).",C1
2737,"Ses idées semblaient se faire jour à travers les obstacles, et sortir de cette lutte plus agréables, plus naïves et plus neuves ; car les idiomes étrangers rajeunissent les pensées, et les débarrassent de ces tournures qui les font paraître tour à tour communes et affectées.",C2
2738,J'ai bien reçu le lecteur de DVD portable.,A1
2739,"Un jour, en sport, je prends le ballon sur le nez.",A2
2740,Mais des femmes ayant choisi d'autres disciplines scientifiques reconnaissent qu'elles n'ont même pas envisagé cette possibilité.,B2
2741,Je veux prendre rendez-vous pour mon dos.,A2
2742,Ça va durer encore longtemps ?,A2
2743,"En buvant de l'eau, on aide son corps à trouver son équilibre",B1
2744,"Et ça c'est à cause de l'école, parce que l'école les a dégoûtés, ils avaient plus envie d'apprendre ; alors maintenant ils sont dans la rue et ils font n'importe quoi.",A2
2745,Cette histoire ne ressemble pas à celle de Vacances romaines.,A1
2746,"Le reste, ça ne m'intéresse pas du tout",A2
2747,Elle écrit une lettre.,A1
2748,Elle voulut parler : je lui demandai de m'écouter.,C2
2749,"Puis, quand ils eurent dépassé le bûcheron, celui-ci les rappela pour leur demander s'ils souhaitaient un cheval.",C2
2750,"Le brun, aussi appelé marron, est la couleur du café, de la terre et de l'écorce des arbres.",A1
2751,"D'autre part, l'échec scolaire croissant des garçons.",C1
2752,"Alors, la fusée s'en va.",A1
2753,"Ce processus d'homogénéisation s'est renforcé avec l'industrialisation et le progrès scientifique, qui ont imposé de nouveaux modes de communication, rapides, simples et pratiques.",C1
2754,"Il peut survenir à toute heure, mais de préférence quand un petit rayon de soleil réchauffe votre ordinateur.",B1
2755,"Alors, tout d'abord quel âge avez-vous ?",A2
2756,"Pour devenir membre, il suffit de payer la cotisation de la fédération sportive.",B2
2757,"On lui avait tout pris, elle se retrouvait seule au monde.",B1
2758,"Le directeur financier, sans doute moins heureux qu'il l'affichait, a tout abandonné : son travail, son entreprise, sa vie parisienne et son appartement cossu",C1
2759,"On n'en sort pas, et moi, j'en ai marre.",A2
2760,Vous avez des petites bouteilles d'eau si vous avez soif.,A1
2761,"Voici un extrait de sa conférence à Lannion, le 28 mai 1988",B2
2762,Vous devez habiter dans le centre de Limoges ou avoir une voiture.,A1
2763,Petits comme grands peuvent ainsi partir à la chasse à l'oeuf,B1
2764,"L'invasion des fast food, la percée des cuisines ethniques, les gens qui ne cuisinent plus faute de temps, la perte du goût n'expliquent pas tout.",B2
2765,Ils ont décimé les Amérindiens et ont employé des esclaves africains dans leurs mines et leurs plantations.,C1
2766,Je souffre de problème de dos.,A2
2767,"À midi, c'est l'heure de déjeuner",A2
2768,"Et je pense partir et quitter ma maison, car j'élève seule mes trois enfants",A2
2769,Bonjour Abdel et merci pour ton message !,A1
2770,Lequel des deux assouvit le mieux sa passion ?,C1
2771,"Originaire des Saintes, un archipel situé au sud de la Guadeloupe, Gérard-Michel a un parcours pour le moins atypique",C1
2772,À la une de l'actualité également la situation en Australie où les autorités évoquent des dégâts considérables au lendemain d'une nouvelle journée d'incendies,B1
2773,"Il en résulta en même temps un désir ardent d'indépendance, une grande impatience des liens dont j'étais environné, une terreur invincible d'en former de nouveaux.",C2
2774,"L'effondrement de cet ensemble trop immense avait fractionné les routes de l'Ancien Monde, mais laissé des connaissances du lointain (Marco Polo) et des demandes devenues insatisfaites (les épices pour les Occidentaux).",C1
2775,Toute défection démocrate doit donc être compensée par un vote républicain.,B2
2776,"Que les Japonais, animistes, n'aient cure d'une âme transcendante, ignorent notre mythe et apprécient sans réserves leurs robots confirment l'interprétation proposée.",B2
2777,Je m'en vais.,A1
2778,"Pour ma part, je préfère parfois voir des changements, que de voir de simples copier-coller qui respectent trop le livre, mais qui, au final, rendent le film inintéressant, sans originalité.",B2
2779,Marie est mon amie.,A1
2780,"Bon, la première chose bien sûr, il faut être comédien.",A1
2781,"Intégrer internet c'est aussi faire un lien entre l'École et la vie réelle des adolescents, tous natifs numériques .",B2
2782,"Il n'était pas populaire, bien que le crédit posthume conféré à son père suscitât chez ses accointances le regard particulier, semi-circulaire, de ceux qui, ne voulant pas congratuler sur un pied d'égalité terrestre, accordent néanmoins à la branche en vie (à cause de la mort et de sa sanction) une légère inclinaison de tête, en pardon réminiscent d'une crainte future - salut qui nous est très habituel en présence de ce peuple.",C2
2783,On demontre des formules d'addition pour cette section theta qui generalisent en particulier la formule trisecante de fay.,C2
2784,La mémoire de l'ordinateur est pleine.,A2
2785,Les robots humanoïdes n'en sont qu'à leurs balbutiements.,C2
2786,Nous vivons dans une jolie maison avec un grand jardin. Notre quartier est calme et paisible.,B1
2787,"Selon le document, le projet pourrait permettre d'améliorer le système d'évaluation grâce à la technologie.",B2
2788,Je partirai demain matin à la première heure pour ne pas rater mon avion.,A1
2789,"Je te dis à très bientôt pour une rentrée des classes en pleine forme Le matin, Théo se lève à six heures",A2
2790,"Au centre de la grotte il y avait un trône , et sur ce trône il y avait un serpent immense.",A2
2791,J'ai beaucoup aimé le film sur les abeilles.,A2
2792,"Mais il est aussi un descendant de dix-neuvième génération de Dante, ce qui lui confère certaines responsabilités vis-à-vis de son très lointain et très prestigieux aïeul.",B2
2793,Vous ne pouvez pas savoir le plaisir que j'ai à vous rencontrer.,B1
2794,Il ne passe cependant pas sous silence les difficultés matérielles d'un voyage mené avec les seules ressources de la mendicité.,C2
2795,"Selon les services vétérinaires, la moitié des bisons de Yellowstone ont été exposés à la brucellose.",C1
2796,La mère et son fils s'installent loin des autres.,A2
2797,"En effet, le risque pour un homme comme Calliclès décidant de mener une vie intempérante et désordonnée est de devenir l'esclave de ses propres passions et désirs",C2
2798,Les retraités sont sur-représentés dans l'électorat français par rapport aux autres tranches d'âge.,B2
2799,Napoléon lui donne un statut militaire en 1804.,C1
2800,J'ai adoré le repas,A2
2801,Elle est venue voir en bas si ça lui convenait.,A1
2802,"Les vins français changent, évoluent, retrouvent l'éclat perdu et innovent tout en plaisant.",B2
2803,Faut-il redouter une gérontocratie à la française ?,B2
2804,"Lorsqu'elle entendra le réveille-matin, elle se lèvera du lit, elle prendra une douche et elle se dépêchera pour aller au bureau.",B1
2805,J'ai éteint le feu.,A1
2806,Le serveur : Je vous apporte votre commande !,A2
2807,J'en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.,A1
2808,"En effet, selon le philosophe Michel Serres, elle a atteint l'homme moderne dans ses facultés.",B2
